TIME_Year;FACT_INDICATOR_FINANCE_Key;UTILITY_Country;INDICATOR_Name;FACT_INDICATOR_FINANCE_Name_In_Document;CURRENCY_Name;INDICATOR_Theme;UTILITY_Name;FACT_INDICATOR_FINANCE_Holding_Company;FACT_INDICATOR_Value;FACT_INDICATOR_FINANCE_Order_Magnitude;FACT_INDICATOR_FINANCE_Mantainer;FACT_INDICATOR_FINANCE_Observations;FACT_INDICATOR_FINANCE_Document;FACT_INDICATOR_FINANCE_Link;FACT_USD_RATE;TIME_Key;FACT_INDICATOR_Value_USD;FACT_INDICATOR_Value_Local
2015;1026971;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDEESTE;EMPRESA;436362337;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;436362337
2017;1026973;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDEESTE;EMPRESA;1083208185;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;1083208185
2019;1026975;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDEESTE;EMPRESA;1885262507;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;1885262507
2015;1026992;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;20992423147;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;20992423147
2017;1026994;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;36855430394;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;36855430394
2019;1026996;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;55450500164;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;55450500164
2015;1027013;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;12361030379;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;12361030379
2017;1027015;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;9634282001;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;9634282001
2019;1027017;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDEESTE;EMPRESA;13371011257;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;13371011257
2015;1027034;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDEESTE;EMPRESA;33353453526;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;33353453526
2017;1027036;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDEESTE;EMPRESA;46489712395;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;46489712395
2019;1027038;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDEESTE;EMPRESA;68821511421;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;68821511421
2015;1027055;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDEESTE;EMPRESA;-14013205567;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;-14013205567
2017;1027057;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDEESTE;EMPRESA;3809650784;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;3809650784
2019;1027059;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDEESTE;EMPRESA;3086408273;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;3086408273
2015;1027076;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPIEDADES/PLANTA Y EQUIPO;;ACTIVOS;EDEESTE;EMPRESA;10368750789;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;533;;10368750789
2017;1027078;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPIEDADES/PLANTA Y EQUIPO;;ACTIVOS;EDEESTE;EMPRESA;17194445561;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;17194445561
2019;1027080;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPIEDADES/PLANTA Y EQUIPO;;ACTIVOS;EDEESTE;EMPRESA;19717214523;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;19717214523
2017;1027099;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;6261431627;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;6261431627
2018;1027100;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;14028241386;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;14028241386
2019;1027101;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;26324886354;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;26324886354
2017;1027120;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL DE ACTIVOS NO CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;10677059583;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;10677059583
2018;1027121;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL DE ACTIVOS NO CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;34210237012;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;34210237012
2019;1027122;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL DE ACTIVOS NO CORRIENTES;;ACTIVOS;EDENORTE;EMPRESA;52869636930;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;52869636930
2017;1027141;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDENORTE;EMPRESA;26780700004;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;26780700004
2018;1027142;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDENORTE;EMPRESA;58294956758;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;58294956758
2019;1027143;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDENORTE;EMPRESA;93536676295;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;93536676295
2017;1027162;REPUBLICA DOMINICANA;BENEFICIO BRUTO;BENEFICIO (P�RDIDA) BRUTO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;1859042069;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;1859042069
2018;1027163;REPUBLICA DOMINICANA;BENEFICIO BRUTO;BENEFICIO (P�RDIDA) BRUTO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;2429181065;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;2429181065
2019;1027164;REPUBLICA DOMINICANA;BENEFICIO BRUTO;BENEFICIO (P�RDIDA) BRUTO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;4693919153;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;4693919153
2017;1027183;REPUBLICA DOMINICANA;BENEFICIO NETO;SUPERAVIT (DEFICIT) DEL PERIODO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-9445975467;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-9445975467
2018;1027184;REPUBLICA DOMINICANA;BENEFICIO NETO;SUPERAVIT (DEFICIT) DEL PERIODO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-8855621926;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-8855621926
2019;1027185;REPUBLICA DOMINICANA;BENEFICIO NETO;SUPERAVIT (DEFICIT) DEL PERIODO;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-9080999087;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;-9080999087
2017;1027225;REPUBLICA DOMINICANA;OPEX PROXY;OPEX PROXY;;PASIVOS;EDENORTE;EMPRESA;31777178912;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;31777178912
2018;1027226;REPUBLICA DOMINICANA;OPEX PROXY;OPEX PROXY;;PASIVOS;EDENORTE;EMPRESA;38392409694;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;38392409694
2019;1027227;REPUBLICA DOMINICANA;OPEX PROXY;OPEX PROXY;;PASIVOS;EDENORTE;EMPRESA;41957547109;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;41957547109
2017;1027246;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EM CAJA E BANCOS;;ACTIVOS;EDENORTE;EMPRESA;958741833;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;958741833
2018;1027247;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EM CAJA E BANCOS;;ACTIVOS;EDENORTE;EMPRESA;565534783;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;565534783
2019;1027248;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EM CAJA E BANCOS;;ACTIVOS;EDENORTE;EMPRESA;378461592;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;378461592
2017;1027267;REPUBLICA DOMINICANA;IMPUESTOS;IMPUESTOS;;PASIVOS;EDENORTE;EMPRESA;104413732;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;104413732
2018;1027268;REPUBLICA DOMINICANA;IMPUESTOS;IMPUESTOS;;PASIVOS;EDENORTE;EMPRESA;765238;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;765238
2019;1027269;REPUBLICA DOMINICANA;IMPUESTOS;IMPUESTOS;;PASIVOS;EDENORTE;EMPRESA;54191;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;54191
2017;1027288;REPUBLICA DOMINICANA;INTER�S;INTER�S;;PASIVOS;EDENORTE;EMPRESA;5763586550;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;5763586550
2018;1027289;REPUBLICA DOMINICANA;INTER�S;INTER�S;;PASIVOS;EDENORTE;EMPRESA;5050200706;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;5050200706
2019;1027290;REPUBLICA DOMINICANA;INTER�S;INTER�S;;PASIVOS;EDENORTE;EMPRESA;6988749644;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;6988749644
2017;1027309;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;48581297671;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;48581297671
2018;1027310;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;64539231657;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;64539231657
2019;1027311;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;55760485718;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;55760485718
2017;1027330;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;42594657382;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;42594657382
2018;1027331;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;29772245727;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;29772245727
2019;1027332;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDENORTE;EMPRESA;51556320092;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;51556320092
2017;1027351;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVOS;;PASIVOS;EDENORTE;EMPRESA;91175955054;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;91175955054
2018;1027352;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVOS;;PASIVOS;EDENORTE;EMPRESA;94311477384;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;94311477384
2019;1027353;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVOS;;PASIVOS;EDENORTE;EMPRESA;1.07317E+11;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;107317000000
2017;1027372;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-65395255049;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-65395255049
2018;1027373;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-36016520626;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-36016520626
2019;1027374;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDENORTE;EMPRESA;-13780129515;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;-13780129515
2017;1027393;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPRIEDAD, PLANTAS Y EQUIPOS;;ACTIVOS;EDENORTE;EMPRESA;9842208792;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;9842208792
2018;1027394;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPRIEDAD, PLANTAS Y EQUIPOS;;ACTIVOS;EDENORTE;EMPRESA;10056478359;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;10056478359
2019;1027395;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;PROPRIEDAD, PLANTAS Y EQUIPOS;;ACTIVOS;EDENORTE;EMPRESA;19907117512;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;19907117512
2016;1027434;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDESUR;EMPRESA;8566206014;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;8566206014
2017;1027435;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDESUR;EMPRESA;13280492665;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;13280492665
2018;1027436;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDESUR;EMPRESA;15761078398;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;15761078398
2019;1027437;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDESUR;EMPRESA;26378718126;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;26378718126
2020;1027438;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;EDESUR;EMPRESA;23515572756;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;23515572756
2016;1027455;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES + TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;17777856648;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;17777856648
2017;1027456;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES + TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;19400969268;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;19400969268
2018;1027457;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES + TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;38674816783;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;38674816783
2019;1027458;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES + TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;60403626101;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;60403626101
2020;1027459;REPUBLICA DOMINICANA;ACTIVOS NO CORRIENTES;TOTAL ACTIVOS NO CORRIENTES + TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;63542538439;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;63542538439
2016;1027476;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDESUR;EMPRESA;26344062662;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;26344062662
2017;1027477;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDESUR;EMPRESA;32681461933;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;32681461933
2018;1027478;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDESUR;EMPRESA;54435895181;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;54435895181
2019;1027479;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDESUR;EMPRESA;86782344227;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;86782344227
2020;1027480;REPUBLICA DOMINICANA;ACTIVOS TOTALES;TOTAL DE ACTIVOS;;ACTIVOS;EDESUR;EMPRESA;87058111195;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;87058111195
2016;1027497;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDESUR;EMPRESA;1165797125;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;1165797125
2017;1027498;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDESUR;EMPRESA;1264405895;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;1264405895
2018;1027499;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDESUR;EMPRESA;1606848258;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;1606848258
2019;1027500;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDESUR;EMPRESA;2337567458;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;2337567458
2020;1027501;REPUBLICA DOMINICANA;EFECTIVO;EFECTIVO EN CAJA Y BANCOS;;ACTIVOS;EDESUR;EMPRESA;3650597274;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;3650597274
2016;1027518;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDESUR;EMPRESA;32063858736;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;32063858736
2017;1027519;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDESUR;EMPRESA;37788516967;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;37788516967
2018;1027520;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDESUR;EMPRESA;49543670535;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;49543670535
2019;1027521;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDESUR;EMPRESA;54770540793;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;54770540793
2020;1027522;REPUBLICA DOMINICANA;PASIVOS CORRIENTES;TOTAL PASIVOS CORRIENTES;;PASIVOS;EDESUR;EMPRESA;45772363208;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;45772363208
2016;1027539;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDESUR;EMPRESA;22882549155;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;22882549155
2017;1027540;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDESUR;EMPRESA;15304306474;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;15304306474
2018;1027541;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDESUR;EMPRESA;11696587234;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;11696587234
2019;1027542;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDESUR;EMPRESA;17755867384;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;17755867384
2020;1027543;REPUBLICA DOMINICANA;PASIVOS NO CORRIENTES;TOTAL PASIVOS NO CORRIENTES;;PASIVOS;EDESUR;EMPRESA;30808473229;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;30808473229
2016;1027560;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDESUR;EMPRESA;54946407891;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;54946407891
2017;1027561;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDESUR;EMPRESA;53092823441;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;53092823441
2018;1027562;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDESUR;EMPRESA;61240257769;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;61240257769
2019;1027563;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDESUR;EMPRESA;72526408178;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;72526408178
2020;1027564;REPUBLICA DOMINICANA;PASIVOS TOTALES;TOTAL PASIVO;;PASIVOS;EDESUR;EMPRESA;76580836436;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;76580836436
2016;1027581;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDESUR;EMPRESA;-28602345228;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;-28602345228
2017;1027582;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDESUR;EMPRESA;-20411361507;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;-20411361507
2018;1027583;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDESUR;EMPRESA;-6804362588;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;-6804362588
2019;1027584;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDESUR;EMPRESA;14255936050;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;14255936050
2020;1027585;REPUBLICA DOMINICANA;PATRIMONIO NETO;TOTAL CAPITAL;;CAPITAL PROPRIO;EDESUR;EMPRESA;10477274759;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;10477274759
2016;1027602;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;14757228337;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;534;;14757228337
2017;1027603;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;16234194989;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;16234194989
2018;1027604;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;21618176393;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;536;;21618176393
2019;1027605;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;19626342536;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;537;;19626342536
2020;1027606;REPUBLICA DOMINICANA;PLANTAS Y EQUIPOS;TOTAL PROPIEDAD PLANTA Y EQUIPO;;ACTIVOS;EDESUR;EMPRESA;22717130443;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;538;;22717130443
2017;1027624;REPUBLICA DOMINICANA;ACTIVOS CORRIENTES;TOTAL DE ACTIVOS CORRIENTES;;ACTIVOS;UERS;EMPRESA;389718941;1;Daniel Ferreira;;ESTADOS FINANCIEROS;REPOSITORIO;;535;;389718941
